CD_GEOCMU,nmmun,totalmun,taxamun
330045,BELFORD ROXO,18439,11.0
330170,DUQUE DE CAXIAS,34043,20.3
330200,ITAGUAÍ,5878,3.5
330227,JAPERI,4920,2.9
330250,MAGÉ,9438,5.6
330285,MESQUITA,8681,5.2
330320,NILÓPOLIS,8952,5.3
330350,NOVA IGUAÇU,42943,25.6
330360,PARACAMBI,3220,1.9
330414,QUEIMADOS,6788,4.0
330510,SÃO JOÃO DE MERITI,17707,10.6
330555,SEROPÉDICA,4528,2.7
0,FORA DE ABRANGÊNCIA,2253,1.3
